,Offense,Rate
382,Recklessly Endangering Another Person Criminal Mischief Harassment - Subject Other to Physical Contact,1
383,Carry Firearms Public In Phila Carrying Loaded Weapon Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/05/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Max Gerson Kramer Private Supreme Court No: Rep. Status: Phone Number(s): 215-880-8892 215-880-8892 Address: 071246 Active (Phone) (Office) 123 S Broad St Fl 25 Philadelphia,1
384,Driving at Safe Speed Restrictions on Alcoholic Beverages Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 04/26/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
385,Michael ATTORNEY INFORMATION ENTRIES,1
386,Tamper Records Or Id-Writing Tamper Records Or Id-Writing Tamper Records Or Id-Writing Secure Execution Docs By Deception Secure Execution Docs By Deception Secure Execution Docs By Deception Secure Execution Docs By Deception Secure Execution Docs By Deception Secure Execution Docs By Deception Secure Execution Docs By Deception Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 07/27/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
387,Criminal Attempt - Theft By Unlaw Taking-Movable Prop Criminal Attempt - Receiving Stolen Property Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/12/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Court Appointed 086093 Supreme Court No: Rep. Status: Phone Number(s): 215-851-8800 Address: Active (Phone) Parkinson Tarpey & Lloyd 1315 Walnut St Ste 1605 Philadelphia,1
388,Recklessly Endangering Another Person Tamper With/Fabricate Physical Evidence Conspiracy Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/15/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court IGJ - Held for Court IGJ - Held for Court IGJ - Held for Court IGJ - Held for Court Withdrawn F1 F1 F1 F3 03/06/2020,1
389,Obstruct Admin Law/Other Govt Func Recklessly Endangering Another Person Tamper With/Fabricate Physical Evidence Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/10/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active 1441 Sansom Street Philadelphia,1
390,Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances,1
391,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 05/13/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Stack,1
392,Carry Firearms Public In Phila Poss Instrument Of Crime W/Int Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person,1
393,Forgery - Alter Writing Forgery - Alter Writing Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/08/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
394,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 03/04/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Stack,1
395,Corruption Of Minors Agg. Ind. Assault W/O Consent,1
396,False Imprisonment Firearms Not To Be Carried W/O License Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Conspiracy Carry Firearms Public In Phila Poss Instrument Of Crime W/Int Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 05/05/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
397,Carrying Firearm During Emergency Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 04/08/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
398,Firearms Not To Be Carried W/O License Carry Firearms Public In Phila Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/07/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
399,PA 19103 Representing: Gomez,1
400,Criminal Solicitation - Indecent Assault Person Less than 13 Years of Age,1
401,Poss Instrument Of Crime W/Int Theft From A Motor Vehicle Resist Arrest/Other Law Enforce Criminal Mischief Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/21/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
402,Not Use Low Beam,1
403,Recklessly Endangering Another Person Criminal Mischief Harassment - Subject Other to Physical Contact Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 07/23/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
404,Aggravated assault by vehicle DUI: Gen Imp/Inc of Driving Safely - 1st Off Simple Assault Recklessly Endangering Another Person Illegal Racing Reckless Driving Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 07/21/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
405,Demetrius Filed By ATTORNEY INFORMATION ENTRIES,1
406,Terroristic Threats W/ Int To Terrorize Another Recklessly Endangering Another Person,1
407,Malik Filed By ATTORNEY INFORMATION ENTRIES,1
408,Theft Extort-Threat To Commit Anothr Crm,1
409,Kourtney ATTORNEY INFORMATION,1
410,Counterfeiting Tax Stamps,1
411,Criminal Mischief Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Poss Instrument Of Crime W/Int Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/09/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court 02/24/2020 Held for Court Held for Court Dismissed - LOE Held for Court Held for Court Held for Court F2 F2 F2 F2,1
412,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 06/25/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Supreme Court No: Rep. Status: Phone Number(s): Filed By E-Filing Judge ATTORNEY INFORMATION ENTRIES,1
413,Make Sell Etc W/Int To Defraud,1
414,Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing,1
415,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 06/30/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Private Supreme Court No: Rep. Status: Phone Number(s): Address: 093102 Active Tinari,1
416,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Unauth Use Motor/Other Vehicles Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 05/31/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By E-Filing Judge ATTORNEY INFORMATION ENTRIES,1
417,Makes Any Materially False Oral Statement,1
418,Receiving Stolen Property Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/16/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
419,Receiving Stolen Property Simple Assault Recklessly Endangering Another Person Disorder Conduct Hazardous/Physi Off Harassment - Subject Other to Physical Contact Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/01/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Held for Court Held for Court Held for Court Held for Court Held for Court Held for Court Held for Court Held for Court Held for Court F1 F1 F1 S F1 F1 F1 S 02/18/2020,1
420,Kevin Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court ATTORNEY INFORMATION ENTRIES,1
421,Receiving Stolen Property Simple Assault Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 04/11/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
422,Carry Firearms Public In Phila Poss Instrument Of Crime W/Int Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/09/2020 066694 Active Name: Steven Ernest Kellis Private Supreme Court No: Rep. Status: Phone Number(s): 215-940-1200 Other) Address: Representing: Oliveira,1
423,Pass Left Unsafe,1
424,Receiving Stolen Property Poss Instrument Of Crime W/Int Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 05/27/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
425,Int Poss Contr Subst By Per Not Reg Corruption Of Minors Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 07/11/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Timothy J. Tarpey Court Appointed 088162 Supreme Court No: Rep. Status: Phone Number(s): 215-851-8800 267-254-2106 Address: Active (Phone) (Mobile) Parkinson Tarpey & Lloyd 1315 Walnut St Ste 1605 Philadelphia,1
426,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Poss Instrument Of Crime W/Int Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 05/01/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
427,Everton Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Filed By ATTORNEY INFORMATION ENTRIES,1
428,Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Simple Assault Recklessly Endangering Another Person,1
429,Fail To Signal,1
430,Rape Forcible Compulsion Rape of Child Sexual Assault Agg. Ind. Assault - Comp. Less Than 16 Agg. Ind. Assault of Child,1
431,Simple Assault Unauth Use Motor/Other Vehicles,1
432,Corruption Of Minors Simple Assault,1
433,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 06/30/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active E-Filing Judge Filed By ATTORNEY INFORMATION ENTRIES,1
434,Driv While Oper Priv Susp Or Revoked Unknown Statute Unknown Statute Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 04/06/2020 052719 Active Name: Fortunato N. Perri Jr. Private Supreme Court No: Rep. Status: Phone Number(s): 215-981-0999 Office) Address: Representing: Raynor,1
435,Criminal Attempt - Fraud Document - Insurance Rate Determ,1
436,Purch Etc Alcoh Bev By A Minor,1
437,Theft By Unlaw Taking-Movable Prop Corruption Of Minors,1
438,Sell Obscene/Sexual Materials,1
439,Poss Instrument Of Crime W/Int Unauth Use Motor/Other Vehicles,1
440,Intim Witness/Victim False/Misleading Testimony,1
441,Firearms Not To Be Carried W/O License Theft By Unlaw Taking-Movable Prop Receiving Stolen Property Conspiracy Carry Firearms Public In Phila Poss Instrument Of Crime W/Int Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 05/05/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
442,Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Recklessly Endangering Another Person Recklessly Endangering Another Person Recklessly Endangering Another Person Recklessly Endangering Another Person Recklessly Endangering Another Person Fail To Prev Catast-Duty,1
443,Follow Too Closely Unknown Statute Careless Driving No Headlights Turning Movements And Required Signals Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 03/14/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
444,Corrupt Organizations Int Poss Contr Subst By Per Not Reg Conspiracy Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 06/26/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Guy R. Sciolla II Private 019051 Active Supreme Court No: Rep. Status: Phone Number(s): Address: Filed By ATTORNEY INFORMATION ENTRIES,1
445,Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Identity Theft Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing,1
446,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 07/26/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Hook,1
447,Corian Filed By ATTORNEY INFORMATION ENTRIES,1
448,Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Forgery - Alter Writing Theft By Decep-False Impression Theft By Decep-False Impression Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ Fraud Document - Insurance Rate Determ,1
449,Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu Weapons of Mass Dest. - Unlawful Poss or Manu,1
450,Use/Poss Of Drug Paraph No Headlights Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 03/15/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active 1441 Sansom Street Philadelphia,1
451,Harassment - Subject Other to Physical Contact Disorderly Conduct Engage In Fighting Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 05/24/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
452,Abdul ATTORNEY INFORMATION ENTRIES,1
453,Megan L. Filed By ATTORNEY INFORMATION ENTRIES,1
454,PA 19102 Representing: Tieku,1
455,Etc. Language Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/22/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Eugene P. Tinari Private Supreme Court No: Rep. Status: Phone Number(s): 215-569-2551 Address: 054512 Active (Phone) 1 Veterans Sq Ste 106 Media,1
456,Causing Catastrophe Criminal Use Of Communication Facility Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Poss Instrument Of Crime W/Int Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Make Repairs/Sell/Etc Offens Weap Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances Carrying Explosives On Conveyances,1
457,False Alarm To Agency Of Public Safety False Alarm To Agency Of Public Safety False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another False Report - Falsely Incriminate Another Harassment - Subject Other to Physical Contact Disposition Date Offense Disposition Sentence Date,1
458,Criminal Attempt - Sexual Intercourse With Animal,1
459,Criminal Use Of Communication Facility Int Poss Contr Subst By Per Not Reg,1
460,Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Photograph/Film/Depict on Computer Sex Act - Knowingly or Permitting Child Criminal Use Of Communication Facility Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/26/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court,1
461,Poss Of Unstamped Cig,1
462,Penalties - Sales of Firearms,1
463,Luis Filed By ATTORNEY INFORMATION ENTRIES,1
464,Int Poss Contr Subst By Per Not Reg Carry Firearms Public In Phila Poss Instrument Of Crime W/Int Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 05/16/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Glen Richard Morris Court Appointed 033047 Supreme Court No: Rep. Status: Phone Number(s): 215-752-3194 Address: Active (Phone) Suite 650 Land Title Building 100 S Broad St Philadelphia,1
465,PA 19107 Representing: Velez,1
466,Publish False or Deceptive Advertisement,1
467,Dennis C. Proceed to Court Proceed to Court Proceed to Court Proceed to Court Filed By ATTORNEY INFORMATION ENTRIES,1
468,Conspiracy Firearms Not To Be Carried W/O License Carry Firearms Public In Phila Poss Instrument Of Crime W/Int Simple Assault Recklessly Endangering Another Person Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 01/10/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Gary Sanford Server Court Appointed 052866 Supreme Court No: Rep. Status: Phone Number(s): 215-632-3546 Address: Active (Phone) 52103 Delaire Lndg Philadelphia,1
469,Simple Assault Recklessly Endangering Another Person Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 05/15/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active E-Filing Judge Filed By ATTORNEY INFORMATION ENTRIES,1
470,Poss Instrument Of Crime W/Int Terroristic Threats W/ Int To Terrorize Another Simple Assault Recklessly Endangering Another Person Harassment - Subject Other to Physical Contact Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 05/23/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
471,Crim Tres-Break Into Structure Theft By Unlaw Taking-Movable Prop Criminal Mischief Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/01/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Magistrate Filed By ATTORNEY INFORMATION ENTRIES,1
472,Corruption Of Minors Simple Assault Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 06/24/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active E-Filing Judge Filed By ATTORNEY INFORMATION ENTRIES,1
473,Recklessly Endangering Another Person Criminal Mischief Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/14/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Leonard Barry Zoftis Private Supreme Court No: Rep. Status: Phone Number(s): 215-969-3990 Address: 078620 Active (Phone) 1111 Street Rd Ste 305 Southampton,1
474,Resist Arrest/Other Law Enforce Criminal Mischief,1
475,Etc. Language Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 02/14/2020 Proceed to Court Proceed to Court Withdrawn Withdrawn Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By Stack,1
476,Zahmir Filed By Magistrate ATTORNEY INFORMATION ENTRIES,1
477,Int Poss Contr Subst By Per Not Reg Carry Firearms Public In Phila Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 07/18/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Berto M. Elmore Private 057956 Active Supreme Court No: Rep. Status: Phone Number(s): Address: Filed By ATTORNEY INFORMATION ENTRIES,1
478,Turning Movements And Required Signals Too Slow For Conditions Careless Driving No Headlights Incarceration/Diversionary Period Disposition Date Offense Disposition Sentence Date 05/17/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Philadelphia Public Defender Supreme Court No: Rep. Status: Phone Number(s): Address: Active Filed By ATTORNEY INFORMATION ENTRIES,1
479,Conspiracy Theft By Unlaw Taking-Movable Prop Corruption Of Minors Disposition Date Offense Disposition Sentence Date Incarceration/Diversionary Period 06/02/2020 Proceed to Court Proceed to Court Proceed to Court Proceed to Court Proceed to Court Name: Eileen J. Hurley Court Appointed 079148 Supreme Court No: Rep. Status: Phone Number(s): 215-299-1299 215-341-2920 Address: Active (Phone) (Mobile) 1518 Walnut St Ste 905 Philadelphia,1
480,U Turn Unsafely,1
